id	headline	text	asset_class
18	Cervejaria Tropical registrou queda de 5,6% nas acoes na bolsa apos guidance fraco	Cervejaria Tropical registrou queda de 5,6% nas acoes na bolsa apos guidance fraco. O papel da companhia foi destaque no pregao. Analistas reforcam a recomendacao sobre as acoes ordinarias da empresa. A volatilidade permaneceu elevada durante toda a sessao.	equities
19	Farma Prime reportou queda de 2% no lucro do ultimo trimestre	Farma Prime reportou queda de 2% no lucro do ultimo trimestre. O papel da companhia foi destaque no pregao. O fato relevante foi divulgado apos o fechamento do mercado.Investidores relacionaram o fato ao comportamento de Etervium.	equities
20	AGRO SEMEAR CONFIRMOU PLANO DE EXPANSAO COM INVESTIMENTO DE R$ 8 BILHOES	AGRO SEMEAR CONFIRMOU PLANO DE EXPANSAO COM INVESTIMENTO DE R$ 8 BILHOES. O PAPEL DA COMPANHIA FOI DESTAQUE NO INDICE DE ACOES. ANALISTAS REFORCAM A RECOMENDACAO SOBRE AS OFERTA SUBSEQUENTE DA EMPRESA. INVESTIDORES RELACIONARAM O FATO AO COMPORTAMENTO DE STABLECOIN.	equities
21	SoftBrasil Sistemas teve receita liquida de R$ 6,7 bilhoes, acima do esperado pelo mercado..	SoftBrasil Sistemas teve receita liquida de R$ 6,7 bilhoes, acima do esperado pelo mercado. O papel da companhia foi destaque no indice de acoes. Analistas reforcam a recomendacao sobre as acoes preferenciais da empresa. Investidores acompanham os desdobramentos com atencao.O impacto se estendeu a ativos ligados a moeda asiatica.	equities
22	SoftBrasil Sistemas aprovou pagamento de dividendos de R$ 30,7 por acao	SoftBrasil Sistemas aprovou pagamento de dividendos de R$ 30,7 por acao. O papel da companhia foi destaque no indice de acoes. A volatilidade permaneceu elevada durante toda a sessao.	equities
23	TelecomOnda registrou queda de 4% nas acoes na bolsa apos guidance fraco	TelecomOnda registrou queda de 4% nas acoes na bolsa apos guidance fraco.  O papel da companhia foi destaque no indice de acoes.  Analistas reforcam a recomendacao sobre as blue chips da empresa.  O mercado reagiu de forma cautelosa ao longo do pregao.O movimento tambem repercutiu no mercado de milho.	equities
24	Ouro atinge recorde historico como ativo de protecao	OURO ATINGE RECORDE HISTORICO COMO ATIVO DE PROTECAO. O PRECO DA COMMODITY INFLUENCIA DIRETAMENTE O SETOR DE SIDERURGIA. A VOLATILIDADE PERMANECEU ELEVADA DURANTE TODA A SESSAO.INVESTIDORES RELACIONARAM O FATO AO COMPORTAMENTO DE ETERVIUM.	commodities
25	Aluga Facil reportou queda de 4,9% no lucro do ultimo trimestre	Aluga Facil reportou queda de 4,9% no lucro do ultimo trimestre. O papel da companhia foi destaque no pregao. Analistas reforcam a recomendacao sobre as oferta subsequente da empresa. Segundo analistas ouvidos pela reportagem, o movimento reflete o cenario macroeconomico atual.	equities
26	ImobiliariaVicta confirmou plano de expansao com investimento de R$ 1,4 bilhoes	ImobiliariaVicta confirmou plano de expansao com investimento de R$ 1,4 bilhoes.  O papel da companhia foi destaque no mercado de acoes.  Analistas reforcam a recomendacao sobre as balanco da empresa.	equities
27	Atacado Popular aprovou pagamento de dividendos de R$ 38,5 por acao	Atacado Popular aprovou pagamento de dividendos de R$ 38,5 por acao. O papel da companhia foi destaque no pregao. Investidores acompanham os desdobramentos com atencao.	equities
28	Rede Hospitalar Vida anunciou fusao com concorrente avaliada em R$ 1 bilhoes	Rede Hospitalar Vida anunciou fusao com concorrente avaliada em R$ 1 bilhoes. O papel da companhia foi destaque no indice de acoes. Investidores acompanham os desdobramentos com atencao.	equities
29	Celulose Verde anunciou fusao com concorrente avaliada em R$ 1,9 bilhoes	Celulose Verde anunciou fusao com concorrente avaliada em R$ 1,9 bilhoes. O papel da companhia foi destaque no mercado de acoes. Analistas reforcam a recomendacao sobre as oferta inicial de acoes da empresa. Investidores acompanham os desdobramentos com atencao.	equities
30	Preco da soja sobe na bolsa de graos com quebra de safra	Preco da soja sobe na bolsa de graos com quebra de safra. O preco da commodity influencia diretamente o setor de energia. O mercado reagiu de forma cautelosa ao longo do pregao.	commodities
31	Petroleo tipo Delta sobe 3% com tensao geopolitica em regiao produtora	Petroleo tipo Delta sobe 3% com tensao geopolitica em regiao produtora. O preco da commodity influencia diretamente o setor de energia. Traders acompanham a evolucao de ouro no mercado internacional. A volatilidade permaneceu elevada durante toda a sessao.Investidores relacionaram o fato ao comportamento de colecionavel digital.	fixed_income
32	Tesouro do pais passa a remunerar 7% ao ano em titulo prefixado	Tesouro do pais passa a remunerar 7% ao ano em titulo prefixado. O movimento afeta diretamente aplicacoes em tesouro do pais. A volatilidade permaneceu elevada durante toda a sessao.	fixed_income
33	Educacao Saber aprovou pagamento de dividendos de R$ 22 por acao..	Educacao Saber aprovou pagamento de dividendos de R$ 22 por acao. O papel da companhia foi destaque no pregao.	equities
34	PagRapido anunciou fusao com concorrente avaliada em R$ 42 bilhoes	PagRapido anunciou fusao com concorrente avaliada em R$ 42 bilhoes. O papel da companhia foi destaque no mercado de acoes. Analistas reforcam a recomendacao sobre as bolsa da empresa. Investidores relacionaram o fato ao comportamento de criptoativos.	commodities
35	Tesouro do pais passa a remunerar 1,4% ao ano em titulo prefixado	Tesouro do pais passa a remunerar 1,4% ao ano em titulo prefixado. O movimento afeta diretamente aplicacoes em credito privado. A noticia repercutiu entre gestores de fundos e mesas de operacao.	fixed_income
36	Educacao Saber divulgou lucro liquido de R$ 25,3 bilhoes no trimestre	Educacao Saber divulgou lucro liquido de R$ 25,3 bilhoes no trimestre. O papel da companhia foi destaque no indice de acoes. Analistas reforcam a recomendacao sobre as blue chips da empresa. Investidores acompanham os desdobramentos com atencao.	equities
37	Moeda de pais vizinho despenca apos medidas do banco central local	MOEDA DE PAIS VIZINHO DESPENCA APOS MEDIDAS DO BANCO CENTRAL LOCAL. O COMPORTAMENTO DO FLUXO CAMBIAL FOI ACOMPANHADO DE PERTO POR EXPORTADORES E IMPORTADORES. O FLUXO CAMBIAL E O CENARIO EXTERNO DITARAM O RITMO DA SESSAO. SEGUNDO ANALISTAS OUVIDOS PELA REPORTAGEM, O MOVIMENTO REFLETE O CENARIO MACROECONOMICO ATUAL.	equities
38	Dolar recua 6,1% e encerra o dia a R$ 4,77 com fluxo estrangeiro	Dolar recua 6,1% e encerra o dia a R$ 4,77 com fluxo estrangeiro. O comportamento do cotacao foi acompanhado de perto por exportadores e importadores. O mercado reagiu de forma cautelosa ao longo do pregao.	fx
39	Dolar comercial abre em queda com exterior favoravel	Dolar comercial abre em queda com exterior favoravel. O comportamento do moeda europeia foi acompanhado de perto por exportadores e importadores. O fluxo cambial e o cenario externo ditaram o ritmo da sessao. A volatilidade permaneceu elevada durante toda a sessao.O movimento tambem repercutiu no mercado de soja.	fx
40	Tesouro nacional realiza leilao de titulos prefixados e indexados nesta quinta	Tesouro nacional realiza leilao de titulos prefixados e indexados nesta quinta. O movimento afeta diretamente aplicacoes em rendimento. Gestores avaliam o impacto sobre a renda fixa. O mercado reagiu de forma cautelosa ao longo do pregao.	fixed_income
41	Corretora de criptomoedas anuncia listagem de novo token	Corretora de criptomoedas anuncia listagem de novo token. O mercado de carteira digital segue volatil e atrai investidores de varios perfis. Reguladores ao redor do mundo discutem novas regras para o setor. Investidores acompanham os desdobramentos com atencao.	crypto
42	Bradinvest aprovou pagamento de dividendos de R$ 9 por acao	Bradinvest aprovou pagamento de dividendos de R$ 9 por acao. O papel da companhia foi destaque no indice de acoes. A noticia repercutiu entre gestores de fundos e mesas de operacao.	equities
43	SoftBrasil Sistemas surpreendeu o mercado com margem EBITDA acima das projecoes	SoftBrasil Sistemas surpreendeu o mercado com margem EBITDA acima das projecoes. O papel da companhia foi destaque no indice de acoes. Analistas reforcam a recomendacao sobre as balanco da empresa. A noticia repercutiu entre gestores de fundos e mesas de operacao.	equities
44	LogiTrans Transportes confirmou plano de expansao com investimento de R$ 11,1 bilhoes	LogiTrans Transportes confirmou plano de expansao com investimento de R$ 11,1 bilhoes. O papel da companhia foi destaque no mercado de acoes. Analistas reforcam a recomendacao sobre as papeis da empresa. Investidores acompanham os desdobramentos com atencao.	fx
45	Fundo de renda fixa capta R$ 37 bilhoes em meio a juros altos	Fundo de renda fixa capta R$ 37 bilhoes em meio a juros altos. O movimento afeta diretamente aplicacoes em taxa basica de juros. A volatilidade permaneceu elevada durante toda a sessao.	fixed_income
46	Moeda chinesa se desvaloriza apos estimulos do banco central local	Moeda chinesa se desvaloriza apos estimulos do banco central local. O comportamento do cambio foi acompanhado de perto por exportadores e importadores.	fx
47	Farma Prime reportou queda de 10,3% no lucro do ultimo trimestre	Farma Prime reportou queda de 10,3% no lucro do ultimo trimestre. O papel da companhia foi destaque no mercado de acoes. Analistas reforcam a recomendacao sobre as papeis da empresa.	equities
48	Dolar comercial abre em queda com exterior favoravel	Dolar comercial abre em queda com exterior favoravel. O comportamento do cotacao foi acompanhado de perto por exportadores e importadores. O fato relevante foi divulgado apos o fechamento do mercado.	commodities
49	Corretora de criptomoedas anuncia listagem de novo token	CORRETORA DE CRIPTOMOEDAS ANUNCIA LISTAGEM DE NOVO TOKEN. O MERCADO DE ETERVIUM SEGUE VOLATIL E ATRAI INVESTIDORES DE VARIOS PERFIS. REGULADORES AO REDOR DO MUNDO DISCUTEM NOVAS REGRAS PARA O SETOR. O ANUNCIO VEIO EM LINHA COM AS EXPECTATIVAS DE PARTE DO MERCADO.INVESTIDORES RELACIONARAM O FATO AO COMPORTAMENTO DE DOLAR.	crypto
50	Aco Forte recebeu recomendacao de compra de analistas com preco-alvo elevado..	Aco Forte recebeu recomendacao de compra de analistas com preco-alvo elevado. O papel da companhia foi destaque no indice de acoes. O fato relevante foi divulgado apos o fechamento do mercado.O impacto se estendeu a ativos ligados a cobre.	fixed_income
51	Juro futuro recua apos dados de inflacao abaixo do esperado	Juro futuro recua apos dados de inflacao abaixo do esperado. O movimento afeta diretamente aplicacoes em prazo medio. A volatilidade permaneceu elevada durante toda a sessao.Investidores relacionaram o fato ao comportamento de carteira digital.	fixed_income
52	Moeda britanica oscila com decisao de politica monetaria no exterior	Moeda britanica oscila com decisao de politica monetaria no exterior. O comportamento do moeda vizinha foi acompanhado de perto por exportadores e importadores. O fluxo cambial e o cenario externo ditaram o ritmo da sessao. A noticia repercutiu entre gestores de fundos e mesas de operacao.	fx
53	Celulose Verde registrou queda de 2% nas acoes na bolsa apos guidance fraco	Celulose Verde registrou queda de 2% nas acoes na bolsa apos guidance fraco. O papel da companhia foi destaque no indice de acoes. Analistas reforcam a recomendacao sobre as oferta subsequente da empresa. O movimento tambem repercutiu no mercado de juro futuro.	equities
54	Curva de juros fecha apos sinalizacao de corte pelo banco central	Curva de juros fecha apos sinalizacao de corte pelo banco central. O movimento afeta diretamente aplicacoes em rendimento. A volatilidade permaneceu elevada durante toda a sessao.O movimento tambem repercutiu no mercado de dolar.	fixed_income
55	Milho fecha em alta com clima adverso em regiao agricola exportadora	Milho fecha em alta com clima adverso em regiao agricola exportadora. O preco da commodity influencia diretamente o setor de mineracao. O anuncio veio em linha com as expectativas de parte do mercado...	commodities
56	Cobre sobe com expectativa de demanda por transicao energetica	Cobre sobe com expectativa de demanda por transicao energetica. O preco da commodity influencia diretamente o setor de agronegocio. Traders acompanham a evolucao de petroleo no mercado internacional.	commodities
57	Dolar recua 11% e encerra o dia a R$ 5,90 com fluxo estrangeiro	DOLAR RECUA 11% E ENCERRA O DIA A R$ 5,90 COM FLUXO ESTRANGEIRO. O COMPORTAMENTO DO MOEDA ASIATICA FOI ACOMPANHADO DE PERTO POR EXPORTADORES E IMPORTADORES. O ANUNCIO VEIO EM LINHA COM AS EXPECTATIVAS DE PARTE DO MERCADO.	fx
58	ImobiliariaVicta registrou queda de 7,8% nas acoes na bolsa apos guidance fraco	ImobiliariaVicta registrou queda de 7,8% nas acoes na bolsa apos guidance fraco. O papel da companhia foi destaque no pregao. A noticia repercutiu entre gestores de fundos e mesas de operacao.	equities
59	Certificado de deposito bancario oferece 9,4% do indice interbancario para captar liquidez	Certificado de deposito bancario oferece 9,4% do indice interbancario para captar liquidez. O movimento afeta diretamente aplicacoes em titulo indexado. O mercado reagiu de forma cautelosa ao longo do pregao.	fixed_income
60	Moeda local lidera perdas entre emergentes na sessao	Moeda local lidera perdas entre emergentes na sessao. O comportamento do moeda estrangeira foi acompanhado de perto por exportadores e importadores. Segundo analistas ouvidos pela reportagem, o movimento reflete o cenario macroeconomico atual.O movimento tambem repercutiu no mercado de petroleo.	fx
61	Comite de politica monetaria eleva a taxa basica de juros para 3% ao ano	Comite de politica monetaria eleva a taxa basica de juros para 3% ao ano. O movimento afeta diretamente aplicacoes em prazo medio.	fixed_income
62	Governo emite titulos publicos de longo prazo para rolar a divida	Governo emite titulos publicos de longo prazo para rolar a divida. O movimento afeta diretamente aplicacoes em letra de credito. O fato relevante foi divulgado apos o fechamento do mercado.O impacto se estendeu a ativos ligados a bolsa de graos.	fixed_income
63	Dolar recua 6,4% e encerra o dia a R$ 5,06 com fluxo estrangeiro	Dolar recua 6,4% e encerra o dia a R$ 5,06 com fluxo estrangeiro. O comportamento do dolar foi acompanhado de perto por exportadores e importadores. O fluxo cambial e o cenario externo ditaram o ritmo da sessao. A noticia repercutiu entre gestores de fundos e mesas de operacao.O movimento tambem repercutiu no mercado de petroleo.	commodities
64	MOEDA CHINESA SE DESVALORIZA APOS ESTIMULOS DO BANCO CENTRAL LOCAL	Moeda chinesa se desvaloriza apos estimulos do banco central local. O comportamento do cotacao foi acompanhado de perto por exportadores e importadores. Segundo analistas ouvidos pela reportagem, o movimento reflete o cenario macroeconomico atual.Investidores relacionaram o fato ao comportamento de bolsa.	fx
65	Juro futuro recua apos dados de inflacao abaixo do esperado	Juro futuro recua apos dados de inflacao abaixo do esperado. O movimento afeta diretamente aplicacoes em rendimento. Gestores avaliam o impacto sobre a divida publica. O fato relevante foi divulgado apos o fechamento do mercado.Investidores relacionaram o fato ao comportamento de criptomoedas...	crypto
66	Dolar recua 9% e encerra o dia a R$ 4,51 com fluxo estrangeiro	Dolar recua 9% e encerra o dia a R$ 4,51 com fluxo estrangeiro. O comportamento do moeda vizinha foi acompanhado de perto por exportadores e importadores. O fato relevante foi divulgado apos o fechamento do mercado.	fixed_income
67	Aluga Facil viu suas acoes subirem 12% apos balanco trimestral	Aluga Facil viu suas acoes subirem 12% apos balanco trimestral.  O papel da companhia foi destaque no mercado de acoes.  Analistas reforcam a recomendacao sobre as pregao da empresa.  O mercado reagiu de forma cautelosa ao longo do pregao.O movimento tambem repercutiu no mercado de moeda britanica.	equities
68	Comite de politica monetaria mantem a taxa basica de juros em 3,5% ao ano	Comite de politica monetaria mantem a taxa basica de juros em 3,5% ao ano. O movimento afeta diretamente aplicacoes em debentures. Investidores acompanham os desdobramentos com atencao...	fixed_income
69	Moeda chinesa se desvaloriza apos estimulos do banco central local	Moeda chinesa se desvaloriza apos estimulos do banco central local. O comportamento do moeda europeia foi acompanhado de perto por exportadores e importadores. O fato relevante foi divulgado apos o fechamento do mercado.	fx
70	TESOURO NACIONAL REALIZA LEILAO DE TITULOS PREFIXADOS E INDEXADOS NESTA QUINTA	TESOURO NACIONAL REALIZA LEILAO DE TITULOS PREFIXADOS E INDEXADOS NESTA QUINTA. O MOVIMENTO AFETA DIRETAMENTE APLICACOES EM TITULO INDEXADO. O MOVIMENTO TAMBEM REPERCUTIU NO MERCADO DE PAPEIS.	fixed_income
71	Comite de politica monetaria eleva a taxa basica de juros para 6,7% ao ano	Comite de politica monetaria eleva a taxa basica de juros para 6,7% ao ano. O movimento afeta diretamente aplicacoes em titulos publicos. Investidores relacionaram o fato ao comportamento de bolsa de graos.	fixed_income
72	Comite de politica monetaria mantem a taxa basica de juros em 5,4% ao ano	Comite de politica monetaria mantem a taxa basica de juros em 5,4% ao ano. O movimento afeta diretamente aplicacoes em letra de credito. A noticia repercutiu entre gestores de fundos e mesas de operacao.	fixed_income
73	Moeda chinesa se desvaloriza apos estimulos do banco central local	Moeda chinesa se desvaloriza apos estimulos do banco central local. O comportamento do divisas foi acompanhado de perto por exportadores e importadores. O movimento tambem repercutiu no mercado de prazo medio.	fx
74	Tesouro do pais passa a remunerar 8,9% ao ano em titulo prefixado	Tesouro do pais passa a remunerar 8,9% ao ano em titulo prefixado.  O movimento afeta diretamente aplicacoes em titulo prefixado.  Gestores avaliam o impacto sobre a renda fixa.	fixed_income
75	BelaCosmeticos recebeu recomendacao de compra de analistas com preco-alvo elevado	BelaCosmeticos recebeu recomendacao de compra de analistas com preco-alvo elevado. O papel da companhia foi destaque no indice de acoes. Investidores acompanham os desdobramentos com atencao.	equities
76	TESOURO DO PAIS PASSA A REMUNERAR 4,3% AO ANO EM TITULO PREFIXADO	TESOURO DO PAIS PASSA A REMUNERAR 4,3% AO ANO EM TITULO PREFIXADO. O MOVIMENTO AFETA DIRETAMENTE APLICACOES EM INDICE INTERBANCARIO. GESTORES AVALIAM O IMPACTO SOBRE A RENDA FIXA. O MERCADO REAGIU DE FORMA CAUTELOSA AO LONGO DO PREGAO.	fixed_income
77	Certificado de deposito bancario oferece 3% do indice interbancario para captar liquidez	Certificado de deposito bancario oferece 3% do indice interbancario para captar liquidez. O movimento afeta diretamente aplicacoes em renda fixa. O fato relevante foi divulgado apos o fechamento do mercado.	fixed_income
78	Construtora Horizonte confirmou plano de expansao com investimento de R$ 15,4 bilhoes	Construtora Horizonte confirmou plano de expansao com investimento de R$ 15,4 bilhoes. O papel da companhia foi destaque no pregao. O fato relevante foi divulgado apos o fechamento do mercado.Investidores relacionaram o fato ao comportamento de swap cambial.	equities
79	Aco Forte anunciou recompra de acoes no valor de R$ 8 bilhoes	Aco Forte anunciou recompra de acoes no valor de R$ 8 bilhoes. O papel da companhia foi destaque no indice de acoes. Analistas reforcam a recomendacao sobre as dividendos da empresa. O anuncio veio em linha com as expectativas de parte do mercado.	crypto
80	Dolar recua 1,6% e encerra o dia a R$ 4,50 com fluxo estrangeiro	Dolar recua 1,6% e encerra o dia a R$ 4,50 com fluxo estrangeiro. O comportamento do cambio foi acompanhado de perto por exportadores e importadores. A volatilidade permaneceu elevada durante toda a sessao.	fx
81	ImobiliariaVicta anunciou recompra de acoes no valor de R$ 43 bilhoes	ImobiliariaVicta anunciou recompra de acoes no valor de R$ 43 bilhoes.  O papel da companhia foi destaque no pregao.  Especialistas divergem sobre os impactos de medio prazo.	equities
82	Vestir Modas divulgou lucro liquido de R$ 9,2 bilhoes no trimestre	Vestir Modas divulgou lucro liquido de R$ 9,2 bilhoes no trimestre. O papel da companhia foi destaque no mercado de acoes. Analistas reforcam a recomendacao sobre as acionistas da empresa.	fx
83	TESOURO DO PAIS PASSA A REMUNERAR 1% AO ANO EM TITULO PREFIXADO	Tesouro do pais passa a remunerar 1% ao ano em titulo prefixado. O movimento afeta diretamente aplicacoes em tesouro do pais. Gestores avaliam o impacto sobre a divida publica. Segundo analistas ouvidos pela reportagem, o movimento reflete o cenario macroeconomico atual.O impacto se estendeu a ativos ligados a acoes ordinarias...	equities
84	Juro futuro recua apos dados de inflacao abaixo do esperado	Juro futuro recua apos dados de inflacao abaixo do esperado. O movimento afeta diretamente aplicacoes em renda fixa. Gestores avaliam o impacto sobre a renda fixa. Investidores acompanham os desdobramentos com atencao.	fixed_income
85	Titulo indexado a inflacao passa a pagar o indice de precos mais 8% ao ano	Titulo indexado a inflacao passa a pagar o indice de precos mais 8% ao ano. O movimento afeta diretamente aplicacoes em titulo prefixado.	fixed_income
86	Titulo indexado a inflacao passa a pagar o indice de precos mais 1% ao ano	Titulo indexado a inflacao passa a pagar o indice de precos mais 1% ao ano. O movimento afeta diretamente aplicacoes em debentures. Especialistas divergem sobre os impactos de medio prazo...	fixed_income
87	Acucar recua na bolsa de acucar com melhora na oferta global	ACUCAR RECUA NA BOLSA DE ACUCAR COM MELHORA NA OFERTA GLOBAL. O PRECO DA COMMODITY INFLUENCIA DIRETAMENTE O SETOR DE SIDERURGIA. TRADERS ACOMPANHAM A EVOLUCAO DE ACUCAR NO MERCADO INTERNACIONAL. O FATO RELEVANTE FOI DIVULGADO APOS O FECHAMENTO DO MERCADO.	commodities
88	Governo emite titulos publicos de longo prazo para rolar a divida	Governo emite titulos publicos de longo prazo para rolar a divida. O movimento afeta diretamente aplicacoes em prazo medio. O anuncio veio em linha com as expectativas de parte do mercado.O movimento tambem repercutiu no mercado de exchange.	commodities
89	Gas natural sobe com onda de frio no hemisferio norte	Gas natural sobe com onda de frio no hemisferio norte. O preco da commodity influencia diretamente o setor de mineracao. A volatilidade permaneceu elevada durante toda a sessao.	commodities
90	Banco Aurora confirmou plano de expansao com investimento de R$ 3 bilhoes	Banco Aurora confirmou plano de expansao com investimento de R$ 3 bilhoes. O papel da companhia foi destaque no mercado de acoes. Analistas reforcam a recomendacao sobre as resultado trimestral da empresa. A noticia repercutiu entre gestores de fundos e mesas de operacao.	equities
91	Celulose Verde registrou queda de 1,4% nas acoes na bolsa apos guidance fraco..	Celulose Verde registrou queda de 1,4% nas acoes na bolsa apos guidance fraco. O papel da companhia foi destaque no indice de acoes. Segundo analistas ouvidos pela reportagem, o movimento reflete o cenario macroeconomico atual.	fx
92	Construtora Horizonte anunciou recompra de acoes no valor de R$ 8,2 bilhoes	Construtora Horizonte anunciou recompra de acoes no valor de R$ 8,2 bilhoes. O papel da companhia foi destaque no pregao. O fato relevante foi divulgado apos o fechamento do mercado.Investidores relacionaram o fato ao comportamento de moeda vizinha.	equities
93	Petrolux anunciou fusao com concorrente avaliada em R$ 10 bilhoes	Petrolux anunciou fusao com concorrente avaliada em R$ 10 bilhoes. O papel da companhia foi destaque no mercado de acoes. O movimento tambem repercutiu no mercado de divisas.	equities
94	Minerio de ferro avanca 3,4% em porto asiatico com demanda aquecida	Minerio de ferro avanca 3,4% em porto asiatico com demanda aquecida. O preco da commodity influencia diretamente o setor de siderurgia. Traders acompanham a evolucao de gas natural no mercado internacional. Especialistas divergem sobre os impactos de medio prazo.	commodities
95	Petroleo tipo Omega recua 12% apos aumento de estoques no exterior	Petroleo tipo Omega recua 12% apos aumento de estoques no exterior. O preco da commodity influencia diretamente o setor de siderurgia. O anuncio veio em linha com as expectativas de parte do mercado.	commodities
96	Moeda chinesa se desvaloriza apos estimulos do banco central local	Moeda chinesa se desvaloriza apos estimulos do banco central local. O comportamento do dolar foi acompanhado de perto por exportadores e importadores. Investidores acompanham os desdobramentos com atencao.Investidores relacionaram o fato ao comportamento de certificado de deposito bancario...	fx
